IP:PORT, LOSS, DELAY
188.114.96.221:908,0.00%,223 ms
188.114.96.136:908,0.00%,225 ms
162.159.192.82:8886,0.00%,226 ms
188.114.96.180:908,0.00%,227 ms
188.114.96.221:8886,0.00%,227 ms
188.114.96.236:8886,0.00%,228 ms
188.114.97.196:8886,0.00%,229 ms
188.114.97.152:908,0.00%,229 ms
188.114.96.180:8886,0.00%,229 ms
188.114.97.123:8886,0.00%,229 ms
188.114.96.216:8886,0.00%,229 ms
188.114.96.239:908,0.00%,229 ms
188.114.96.105:8886,0.00%,229 ms
188.114.96.178:8886,0.00%,230 ms
188.114.97.85:8886,0.00%,230 ms
188.114.97.242:908,0.00%,230 ms
188.114.97.242:8886,0.00%,230 ms
188.114.97.224:8886,0.00%,230 ms
188.114.97.113:8886,0.00%,230 ms
188.114.97.92:908,0.00%,231 ms
188.114.97.159:8886,0.00%,231 ms
188.114.97.152:8886,0.00%,231 ms
162.159.195.111:8886,0.00%,233 ms
162.159.195.235:8886,0.00%,234 ms
188.114.96.105:908,0.00%,234 ms
188.114.99.94:8886,0.00%,236 ms
188.114.96.98:8886,0.00%,238 ms
188.114.99.134:8886,0.00%,238 ms
188.114.97.196:908,0.00%,238 ms
188.114.97.159:908,0.00%,238 ms
188.114.98.24:908,0.00%,238 ms
188.114.98.234:908,0.00%,238 ms
188.114.96.216:908,0.00%,238 ms
188.114.96.125:8886,0.00%,238 ms
188.114.97.113:908,0.00%,238 ms
188.114.96.125:908,0.00%,238 ms
188.114.96.236:908,0.00%,238 ms
162.159.192.121:908,0.00%,239 ms
162.159.192.121:8886,0.00%,239 ms
188.114.99.247:8886,0.00%,241 ms
188.114.97.148:8886,0.00%,241 ms
188.114.99.178:908,0.00%,241 ms
188.114.97.148:908,0.00%,241 ms
188.114.96.22:8886,0.00%,241 ms
188.114.99.155:908,0.00%,241 ms
188.114.97.123:908,0.00%,241 ms
188.114.96.22:908,0.00%,241 ms
188.114.96.178:908,0.00%,241 ms
188.114.96.136:8886,0.00%,241 ms
188.114.96.239:8886,0.00%,241 ms
162.159.195.180:908,0.00%,241 ms
162.159.195.111:908,0.00%,241 ms
188.114.97.85:908,0.00%,241 ms
188.114.97.224:908,0.00%,243 ms
188.114.99.97:8886,0.00%,243 ms
188.114.99.155:8886,0.00%,243 ms
188.114.98.22:908,0.00%,246 ms
188.114.98.209:8886,0.00%,246 ms
188.114.97.92:8886,0.00%,246 ms
188.114.98.138:908,0.00%,246 ms
188.114.99.224:8886,0.00%,246 ms
188.114.99.178:8886,0.00%,246 ms
188.114.98.144:8886,0.00%,247 ms
162.159.195.194:8886,0.00%,247 ms
162.159.195.235:908,0.00%,247 ms
188.114.98.209:908,0.00%,247 ms
188.114.98.244:8886,0.00%,247 ms
188.114.98.24:8886,0.00%,247 ms
188.114.99.177:8886,0.00%,247 ms
188.114.98.170:908,0.00%,247 ms
188.114.98.170:8886,0.00%,247 ms
162.159.195.194:908,0.00%,248 ms
188.114.99.94:908,0.00%,248 ms
188.114.98.62:908,0.00%,248 ms
188.114.99.224:908,0.00%,248 ms
188.114.96.98:908,0.00%,249 ms
162.159.192.68:908,0.00%,263 ms
162.159.192.157:8886,0.00%,265 ms
162.159.192.20:8886,0.00%,266 ms
162.159.192.20:908,0.00%,266 ms
162.159.195.51:908,0.00%,269 ms
162.159.195.172:8886,0.00%,271 ms
188.114.99.247:908,0.00%,273 ms
188.114.98.33:908,0.00%,273 ms
188.114.98.234:8886,0.00%,274 ms
188.114.99.135:908,0.00%,277 ms
188.114.99.1:8886,0.00%,277 ms
162.159.192.140:8886,10.00%,334 ms
188.114.99.138:8886,10.00%,340 ms
188.114.98.62:8886,10.00%,341 ms
162.159.195.91:8886,10.00%,343 ms
188.114.98.22:8886,10.00%,345 ms
188.114.99.138:908,10.00%,345 ms
188.114.98.205:908,10.00%,347 ms
188.114.99.1:908,10.00%,347 ms
188.114.99.177:908,10.00%,347 ms
188.114.99.134:908,10.00%,348 ms
